"","customer_id","segment","rfm_score","transaction_count","recency_days","amount","recency_score","frequency_score","monetary_score"
"1","Abbey O'Reilly DVM","Loyal",343,6,205,472,3,4,3
"2","Add Senger","Likely to be Loyal",412,3,140,340,4,1,2
"3","Aden Lesch Sr.","Likely to be Loyal",323,4,194,405,3,2,3
"4","Admiral Senger","Loyal",433,5,132,448,4,3,3
"5","Agness O'Keefe","First Grade",555,9,90,843,5,5,5
"6","Aileen Barton","First Grade",555,9,84,763,5,5,5
"7","Ailene Hermann","Loyal",355,8,281,699,3,5,5
"8","Aiyanna Bruen PhD","Likely to be Loyal",321,4,246,157,3,2,1
"9","Ala Schmidt DDS","Getting less Frequent",212,3,349,363,2,1,2
"10","Alannah Borer","Dont'show up at all",121,4,619,196,1,2,1
"11","Alcide Rohan","Loyal",433,5,138,500,4,3,3
"12","Aleena Berge","Likely to be Loyal",523,4,102,393,5,2,3
"13","Alessandra Heaney","Likely to be Loyal",411,1,168,28,4,1,1
"14","Alethea Blanda","Likely to be Loyal",421,4,157,245,4,2,1
"15","Alex Armstrong","Almost Out",144,6,482,634,1,4,4
"16","Alex Bergnaum","Likely to be Loyal",311,1,239,175,3,1,1
"17","Alexis Cormier","First Grade",455,8,150,786,4,5,5
"18","Alf Lueilwitz","Loyal",344,7,202,596,3,4,4
"19","Alferd Ziemann","Loyal",335,5,245,697,3,3,5
"20","Alfred Metz","Loyal",345,7,245,703,3,4,5
"21","Almedia Yundt","Likely to be Loyal",423,4,146,436,4,2,3
"22","Alpheus Wilkinson","Loyal",244,6,405,597,2,4,4
"23","Alphonse Champlin V","Others",342,7,214,367,3,4,2
"24","Alton Wintheiser","Loyal",233,5,475,392,2,3,3
"25","Alvah Bogisich","Loyal",354,8,191,598,3,5,4
"26","Alvera Balistreri","Loyal",434,5,127,539,4,3,4
"27","Alwina Wilkinson DDS","Loyal",345,6,227,712,3,4,5
"28","Alyssia Hickle","Loyal",333,5,209,387,3,3,3
"29","Amina Renner","Loyal",334,5,215,663,3,3,4
"30","Amit Langworth","Getting less Frequent",211,2,414,253,2,1,1
"31","Anabel Jakubowski PhD","Loyal",443,6,164,443,4,4,3
"32","Anastasia Howe","Require Assistance",223,4,339,425,2,2,3
"33","Anderson Quitzon","Dont'show up at all",112,3,676,287,1,1,2
"34","Andra Bosco","Likely to be Loyal",421,4,156,225,4,2,1
"35","Andra Goodwin","Likely to be Loyal",521,4,12,202,5,2,1
"36","Angeles McLaughlin PhD","Dont'show up at all",112,2,937,316,1,1,2
"37","Anie Hettinger","Getting less Frequent",212,3,444,325,2,1,2
"38","Anjelica Klocko","Almost Out",224,4,458,589,2,2,4
"39","Antonio Bechtelar V","Dont'show up at all",112,3,666,336,1,1,2
"40","Ariane Hansen","Loyal",244,6,455,507,2,4,4
"41","Ariel Yundt","First Grade",455,10,126,1069,4,5,5
"42","Arlie Brekke IV","Loyal",233,5,327,434,2,3,3
"43","Arlyn Dickinson","First Grade",544,7,39,600,5,4,4
"44","Arnett Waters","Likely to be Loyal",332,5,210,341,3,3,2
"45","Arno Blick","Likely to be Loyal",523,4,46,388,5,2,3
"46","Art Hyatt III","Loyal",345,6,274,803,3,4,5
"47","Aryan Bahringer","Others",324,4,286,527,3,2,4
"48","Asha Ankunding","Getting less Frequent",211,3,399,81,2,1,1
"49","Ashleigh Eichmann","Others",425,4,162,681,4,2,5
"50","Aubrey Witting","Likely to be Loyal",521,4,53,229,5,2,1
"51","Aurthur Kirlin II","First Grade",455,9,116,856,4,5,5
"52","Auther Haley","First Grade",555,9,57,878,5,5,5
"53","Avah Schneider","First Grade",445,7,122,777,4,4,5
"54","Avery Bartoletti","Likely to be Loyal",322,4,183,370,3,2,2
"55","Ayesha Carroll","Loyal",533,5,35,390,5,3,3
"56","Azariah Lubowitz","Loyal",433,5,179,425,4,3,3
"57","Azul Wehner","Dont'show up at all",111,1,932,190,1,1,1
"58","Barrett Turcotte DVM","Likely to be Loyal",322,4,186,319,3,2,2
"59","Bartley Collier","Dont'show up at all",111,2,872,141,1,1,1
"60","Bascom Prosacco","Likely to be Loyal",311,3,253,211,3,1,1
"61","Bea Considine","Loyal",234,5,312,527,2,3,4
"62","Beda Paucek","Dont'show up at all",111,2,488,198,1,1,1
"63","Benjamin Barton","Loyal",334,5,181,552,3,3,4
"64","Benji Jacobson","Dont'show up at all",111,2,632,94,1,1,1
"65","Bennett Gleason","Likely to be Loyal",311,1,202,37,3,1,1
"66","Benson Schulist","Loyal",345,7,217,764,3,4,5
"67","Berkley Ernser DDS","Loyal",355,9,269,696,3,5,5
"68","Bernard Bruen","First Grade",555,8,72,875,5,5,5
"69","Bernetta O'Conner","Likely to be Loyal",522,4,114,276,5,2,2
"70","Bernhard Lind","Likely to be Loyal",422,4,152,375,4,2,2
"71","Bertina Renner MD","First Grade",544,6,5,528,5,4,4
"72","Bessie Kub","Loyal",255,9,457,977,2,5,5
"73","Bethel Wunsch","Getting less Frequent",211,3,331,190,2,1,1
"74","Bilal Hahn","Dont'show up at all",111,2,588,241,1,1,1
"75","Blair Cormier","Loyal",335,5,250,733,3,3,5
"76","Blair Erdman PhD","Loyal",355,8,181,845,3,5,5
"77","Bobby Corwin","Getting less Frequent",211,3,365,246,2,1,1
"78","Bonny Breitenberg","Almost Out",144,6,573,531,1,4,4
"79","Boyd Cronin","Getting less Frequent",212,3,298,318,2,1,2
"80","Bradford Bode","Likely to be Loyal",532,5,13,330,5,3,2
"81","Braelyn King","Loyal",433,5,170,435,4,3,3
"82","Braiden Bogan","Loyal",233,5,479,470,2,3,3
"83","Braulio Haag MD","Likely to be Loyal",312,3,186,381,3,1,2
"84","Brayan Terry","Almost Out",122,4,601,338,1,2,2
"85","Braydon Lindgren","Likely to be Loyal",411,1,176,188,4,1,1
"86","Brionna Miller","Likely to be Loyal",422,4,174,374,4,2,2
"87","Britany O'Hara","Others",542,7,18,330,5,4,2
"88","Britni Daugherty","Likely to be Loyal",511,3,62,226,5,1,1
"89","Britton Brekke","Getting less Frequent",212,3,363,336,2,1,2
"90","Bronson Towne","Likely to be Loyal",521,4,89,161,5,2,1
"91","Brooks Funk","Dont'show up at all",111,2,497,96,1,1,1
"92","Bryson Reinger","First Grade",444,6,175,580,4,4,4
"93","Bud Marquardt","Almost Out",132,5,521,323,1,3,2
"94","Buddie Terry MD","Loyal",344,7,294,635,3,4,4
"95","Buford Pollich","Likely to be Loyal",523,4,101,492,5,2,3
"96","Burke Boehm Sr.","Dont'show up at all",112,3,578,316,1,1,2
"97","Burke Connelly","Loyal",543,6,41,465,5,4,3
"98","Burns Mayer","Loyal",333,5,266,419,3,3,3
"99","Burr O'Kon","Likely to be Loyal",422,4,172,381,4,2,2
"100","Burton Kuvalis","Likely to be Loyal",323,4,259,393,3,2,3
